P_max,Omega_1,Omega_2,Mu,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
388,0.09472094706743135,8.173377097148872,7.6694005737419815,0.1360702268288694,5.0,-3.84,3.04,0.0,360.746554851532
468,0.09427770279128384,8.0871412021833,7.687385526198317,0.13458936178918607,5.0,-3.84,3.2,0.0,294.2214903831482
569,0.09377184109681554,8.018304034774786,7.7245041761135,0.1330301412663708,5.0,-3.84,3.3600000000000003,0.0,353.08390974998474
32,0.09320494756185169,7.956543407748539,7.7684930094226825,0.1315572740975321,5.0,-3.84,3.5200000000000005,0.0,326.68173694610596
120,0.09257858035079994,7.921478842498832,7.836802205110226,0.13008469733255149,5.0,-3.84,3.6799999999999997,0.0,356.65609431266785
215,0.0918958005927991,7.877398136014022,7.906773338528023,0.12860682608853619,5.0,-3.84,3.84,0.0,320.03715658187866
326,0.09115987434404511,7.859737476134844,7.992271582941319,0.12733608139531927,5.0,-3.84,4.0,0.0,397.41258907318115
459,0.07042392437824453,12.887416356010434,13.11260906523233,0.14322870354473793,5.0,-3.68,-4.0,0.0,520.119745016098
615,0.07134044154657587,12.887416337425764,12.861771365485104,0.14406120035100392,5.0,-3.68,-3.84,0.0,556.7718057632446
767,0.0722666507563567,12.88741634874441,12.61672010776146,0.14487984188726333,5.0,-3.68,-3.68,0.0,537.3093435764313
93,0.07320120399363951,12.887416326374904,12.377782813730718,0.1456907398530377,5.0,-3.68,-3.52,0.0,547.660894870758
270,0.07414303119168636,12.887416353652362,12.144504332422883,0.14648557990030425,5.0,-3.68,-3.36,0.0,618.0431821346283
401,0.07509071731161474,12.887416348467504,11.917678948055531,0.14727385564345075,5.0,-3.68,-3.2,0.0,527.2417078018188
554,0.07604268857138133,12.887416319236898,11.69694190782289,0.1480545584995232,5.0,-3.68,-3.04,0.0,584.637241601944
706,0.07699719407288179,12.887416163255484,11.466090684572539,0.14908885731585614,5.0,-3.68,-2.88,0.0,537.0864233970642
814,0.0779525488155503,12.856069234371418,11.257361533858012,0.14985853946092126,5.0,-3.68,-2.7199999999999998,0.0,390.5500545501709
920,0.0789103065534106,12.741022442574328,11.051888964889933,0.15063379096208013,5.0,-3.68,-2.56,0.0,360.31008195877075
82,0.07987027631642074,12.6220690818944,10.851133599606614,0.151387363202791,5.0,-3.68,-2.4,0.0,435.295672416687
181,0.08083098021032843,12.501333543427293,10.640125324416182,0.15237226553419808,5.0,-3.68,-2.24,0.0,415.2882945537567
279,0.08179026267019895,12.372802722360678,10.449174375516074,0.15307894091300805,5.0,-3.68,-2.08,0.0,394.3597593307495
383,0.0827461941952394,12.247893025725777,10.263371774863206,0.15376421400125667,5.0,-3.68,-1.92,0.0,405.15781140327454
497,0.08369652900211912,12.11635584906433,10.06775995301142,0.1546686528729121,5.0,-3.68,-1.7599999999999998,0.0,370.66379714012146
602,0.08463925452806564,11.97157812178499,9.890649328058831,0.15529426760087384,5.0,-3.68,-1.6,0.0,390.65119218826294
705,0.08557163244307428,11.850471652027032,9.720070687932015,0.15589920697022897,5.0,-3.68,-1.44,0.0,397.95220494270325
86,0.08649100198859509,11.705904625974586,9.55241325797489,0.15646682104391876,5.0,-3.68,-1.2799999999999998,0.0,461.989376783371
180,0.08739450949241058,11.577844311077879,9.40476785813261,0.15679315144357464,5.0,-3.68,-1.12,0.0,382.1787009239197
273,0.08827973809356394,11.41930040136426,9.244306348610461,0.1572678977955177,5.0,-3.68,-0.96,0.0,336.0947985649109
370,0.08914337496172679,11.271512327614186,9.090007684397602,0.1577349442190562,5.0,-3.68,-0.7999999999999998,0.0,432.1737627983093
488,0.08998233080149956,11.112464120915543,8.951238438340898,0.15791993323744385,5.0,-3.68,-0.6400000000000001,0.0,386.8806231021881
