P_max,Omega_1,Omega_2,Mu,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
582,0.03179562738270497,6.405629137020757,10.273100401453807,0.4462994722667408,0.5,-3.68,-4.0,0.0,570.1904957294464
719,0.032477674500439674,6.405629134306555,9.968138833154185,0.450469388291983,0.5,-3.68,-3.84,0.0,552.9986329078674
879,0.03318736656576058,6.405629134748558,9.655209830167017,0.45420350177242763,0.5,-3.68,-3.68,0.0,545.3076963424683
123,0.03392606804334215,6.405629136940295,9.345213043617392,0.4591771048335618,0.5,-3.68,-3.52,1.0,677.0908327102661
258,0.03469521791060413,6.4056291379611086,9.037081556721702,0.46390652252038156,0.5,-3.68,-3.36,0.0,590.6141018867493
413,0.035496235594890256,6.40562913474154,8.731972110867446,0.4684435507952847,0.5,-3.68,-3.2,0.0,641.1075584888458
560,0.03633051720207784,6.405629136549885,8.425446318982722,0.4739161994784173,0.5,-3.68,-3.04,0.0,609.0502111911774
708,0.03719951176225132,6.405629137260437,8.11330333236673,0.480389697127353,0.5,-3.68,-2.88,0.0,580.0974547863007
842,0.03810448583939961,6.405629111383416,7.818382237035268,0.4854404683838843,0.5,-3.68,-2.7199999999999998,0.0,466.91685819625854
1016,0.03904651442062536,6.405629137338236,7.507946850922432,0.49248984925822814,0.5,-3.68,-2.56,0.0,562.1088013648987
42,0.0400265402203159,6.405629073323454,7.202404710930637,0.49925852440789753,0.5,-3.68,-2.4,0.0,389.1229751110077
163,0.04104482021803065,6.4056290607251505,6.904434957402886,0.5056859634441524,0.5,-3.68,-2.24,0.0,495.65494322776794
366,0.042101551964129846,6.40562913740721,6.616971557368743,0.5130655324113486,0.5,-3.68,-2.08,2.0,829.6996278762817
487,0.043195816453825045,6.405629128179228,6.322752564777591,0.5211596923307695,0.5,-3.68,-1.92,0.0,503.8044652938843
619,0.044325608362472194,6.405629137843825,6.03826354484732,0.5288884723680152,0.5,-3.68,-1.7599999999999998,0.0,541.0003108978271
753,0.04548791824398175,6.405629136861544,5.756047406108397,0.5373399113095043,0.5,-3.68,-1.6,0.0,504.34142088890076
909,0.04667755748169368,6.405629138127468,5.477917897403946,0.5465202762173444,0.5,-3.68,-1.44,0.0,509.1597421169281
