P_max,Omega_1,Omega_2,Mu_plus,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
70,0.0866804280103088,10.913957827997372,9.43713456865381,0.1567110746216307,5.0,-3.84,-0.96,0.0,146.49925422668457
71,0.0877538117503193,11.138832317947902,9.169201583721538,0.1565569804804283,5.0,-3.84,-0.7999999999999998,0.0,148.32881832122803
72,0.0886000444425789,11.138832306005447,9.033457741884718,0.1570377764974954,5.0,-3.84,-0.6400000000000001,0.0,200.23675274848935
73,0.0894125919764597,11.138832221538596,8.923747939213545,0.1571721273855169,5.0,-3.84,-0.48,0.0,164.96706008911133
74,0.0901767271296943,11.138832025154112,8.823346429408744,0.1572663764902076,5.0,-3.84,-0.3199999999999998,0.0,163.1268367767334
75,0.0908086545937967,10.467490572859376,8.62560446295567,0.1569764617614742,5.0,-3.84,-0.1600000000000001,0.0,190.8033940792084
76,0.0915642096577618,11.11052636543771,8.647653492984084,0.1571860031295565,5.0,-3.84,0.0,0.0,125.8339581489563
77,0.0922201634413794,10.467490541039467,8.44891618865794,0.1566576712976861,5.0,-3.84,0.1600000000000001,0.0,161.6844208240509
78,0.0928452770522435,10.467489785567729,8.377248597224643,0.1565153982759073,5.0,-3.84,0.3200000000000003,0.0,184.28055810928345
79,0.0934122694241134,10.335022987665043,8.289984311770864,0.1560714520257571,5.0,-3.84,0.4800000000000004,0.0,123.05077195167542
80,0.0939293594341196,10.258959300483829,8.226244447049773,0.1555043413993402,5.0,-3.84,0.6399999999999997,0.0,127.3480396270752
81,4.861371069760164e-07,4.72115179565221,4.676587359112611,5.7482214391823145,5.0,-3.84,0.7999999999999998,0.0,159.7946584224701
82,0.094794682843871,9.66888985165571,8.004380501813735,0.1536074573392766,5.0,-3.84,0.96,0.0,130.6161344051361
83,0.0951753886775641,9.648721925811024,7.975823332068218,0.152950347204914,5.0,-3.84,1.12,0.0,134.45821475982666
84,0.0954763596485881,9.425574566445878,7.894624463687288,0.151575849914786,5.0,-3.84,1.2800000000000002,0.0,120.52506113052368
85,0.0957304988816962,9.425573979690787,7.884555255619368,0.1506439491933917,5.0,-3.84,1.4400000000000004,0.0,236.554057598114
86,0.0959188539333106,9.357423115137792,7.851114057318682,0.1497979337571557,5.0,-3.84,1.6000000000000003,0.0,119.1905643939972
87,0.0960327577773811,9.34096972834594,7.843374005468519,0.1491571971251967,5.0,-3.84,1.7599999999999998,0.0,173.377947807312
88,0.0961070804264631,8.907250708245485,7.745840816765321,0.1487728628142259,5.0,-3.84,1.92,0.0,127.40791058540344
89,0.0961344634956561,8.886172020028003,7.714846361267176,0.1460908627244313,5.0,-3.84,2.08,1.0,233.6045081615448
90,0.0960827953572773,8.726904108507203,7.675358305276639,0.1447260490079577,5.0,-3.84,2.24,0.0,132.17417335510254
